CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1256090,Chuyên đề 2 (TN-KTI),3,DH,GC,556,Special Subject 2
1256100,Khóa luận tốt nghiệp KTI,7,DH,CC,556,Graduation Thesis
1257010,Công nghệ in,5,DH,NC,557,Printing Technology
1257011,Công nghệ in,4,DH,NC,555,Printing Technology
1257012,Đồ án công nghệ in,1,DH,NC,555,Printing Technology Project
1257020,Công nghệ gia công sau in,5,DH,NC,557,Post Press Processing
1257021,Công nghệ gia công sau in,4,DH,NC,557,Post-Press Processing
1257022,ĐA công nghệ gia công sau in,1,DH,NC,557,Post-Press Processing Subject
1257030,Kinh tế và tổ chức sản xuất in,3,DH,NC,557,Economics and Printing Production Organization
1257040,Tự động hóa trong ngành in,4,DH,NC,557,Automatic in Printing
1257050,An toàn và môi trường trong CN In,2,DH,NC,555,Safety and Environment in Printing Technology
1257060,Qlý  và  ktra chất lượng SP in,3,DH,NC,557,Quality Management in Printing
1257070,Cơ sở thiết kế nhà máy in,3,DH,NC,557,Basis of Printing Factory Design
1257080,Công nghệ in Offset,3,DH,NC,557,Offset Printing Technology
1257081,Công nghệ in offset,4,DH,NC,555,Offset Printing Technology
1257090,Công nghệ in lõm,3,DH,NC,555,Gravure
1257100,Công nghệ in Flexo,3,DH,NC,555,Flexo Printing Technology
1257110,Các công nghệ in đặc biệt,3,DH,NC,557,Special Printing Technology
1257111,Các công nghệ in đặc biệt,2,DH,NC,555,Special Printing Technology
1257120,Kỹ thuật đóng sách,4,DH,NC,557,Book Binding Techniques
1257130,C.nghệ gia công bề mặt ấn phẩm,3,DH,NC,557,Printing Surface Processing Technology
1257140,KT thành phẩm cho nhãn hàng và BB,5,DH,NC,557,Post-Press Technique for Label and Packing
1257160,Chuyên đề 1 (TN-KTI),2,DH,GC,557,Special Subject 1 for Graduation
1257170,Chuyên đề 3 (TN-KTI),2,DH,GC,557,Special Subject 3
1257180,Chuyên đề 4 (TN-KTI),4,DH,GC,557,Special Subject 4
1262020,Độ tin cậy của hệ thống,2,DH,NC,162,Reliability in System
1263010,Đồ án môn học (CĐ-KĐĐ),1,CD,NC,163,Project
1263011,Đồ án môn học 1 (KĐĐ),1,DH,NC,163,Project 1
1263012,Đồ án môn học 2 (KĐĐ),1,DH,NC,163,Project 2
1263013,Đồ án 1 (Điện tử),1,DH,NC,163,Project 1
1263030,TT Tốt nghiệp (KĐĐ),3,DH,NC,163,Graduation Internship
1263060,Điều khiển thông minh,2,DH,NC,146,Intelligent Control
1263080,Trang bị điện - điện tử,2,DH,NC,163,Electrical and Electronic Equipment
1263112,Vi xử lý 2,2,DH,NC,163,Microprocessors 2
1263113,"Vi xử lý nâng cao(ĐT,TT)",3,DH,NC,163,Advanced Microprocessors
1263114,Vi xử lý nâng cao (CT),2,DH,NC,164,Advanced Microprocessors
1263120,Điện tử công nghiệp,2,DH,NC,163,Industrial Electronics
1263121,Điện tử công nghiệp,3,DH,NC,163,Industrial Electronics
1263130,Kỹ thuật vi xử lý,2,DH,NC,163,Microprocessor Engineering
1263140,Điều khiển lập trình (ĐVT),2,DH,NC,163,Programmable Logic Controller
1263141,Điều khiển lập trình (KĐĐ),4,DH,NC,163,Programmable Logic Controller
1263142,Điều khiển lập trình 2,2,DH,NC,146,Programmable Logic Controller 2
1263143,Điều khiển lập trình 2,3,DH,NC,146,Programmable Logic Controller 2
1263144,Điều khiển lập trình 2 (CĐ),2,DH,NC,146,Programmable Logic Controller 2
1263150,Nguồn điện đặc biệt,2,DH,NC,163,Special Electrical Power Supply
1263160,PLC nâng cao (c.tiếp KĐĐ),3,DH,NC,146,
1263170,Vi xử lý,3,DH,NC,163,Microprocessors
1263181,Khóa luận tốt nghiệp (KĐĐ),7,DH,CC,163,Graduation Thesis
1263220,HT thu thập dữ liệu và đ.khiển,3,DH,NC,163,Data Acquisition and Control
1263230,Điện tử ứng dụng,3,DH,NC,163,Applied Electronics
1263240,Công nghệ RFID,2,DH,NC,163,RFID Technology
1263250,Kỹ thuật siêu âm,2,DH,NC,163,Ultrasonic Technique
1263300,Khóa luận tốt nghiệp KĐĐ,7,DH,CC,163,Graduation Thesis
1263310,Điều khiển quá trình (TN-KĐĐ),2,DH,GC,163,Process Control System
1263320,Truyền hình số (TN-KĐĐ),2,DH,GC,163,Digital Television
1263321,Truyền hình số (K11 - ĐT VT),2,DH,NC,163,Digital Television
1263330,Chuyên đề tốt nghiệp KĐĐ,3,DH,GC,163,Graduation Special Subject
1263340,Công nghệ nano,2,DH,NC,162,Nano Technology
1263341,Công nghệ điện tử nano,2,DH,NC,163,Nano Technology
1263350,Chuyên đề tốt nghiệp 1 (KĐĐ),3,DH,GC,163,Graduation Special Subject 1
1263360,Chuyên đề tốt nghiệp 2 (KĐĐ),2,DH,GC,163,Graduation Special Subject 2
1263370,Chuyên đề tốt nghiệp 3 (KĐĐ),2,DH,GC,163,Graduation Special Subject 3
1263380,Chuyên đề tốt nghiệp 1(CĐ-KĐĐ),3,DH,GC,163,Graduation Special Subject 1
1263390,Chuyên đề tốt nghiệp 2(CĐ-KĐĐ),2,DH,GC,163,Graduation Special Subject 2
1263410,T.kế dùng vi điều khiển (TN),3,DH,GC,163,Microcontroller Based Design
1263420,Thiết bị điện-điện tử trong CN,4,DH,NC,163,Industrial Electrical and Electronic Devices
1263421,Tbị điện-điện tử trong CN (CĐ),4,DH,NC,163,Industrial Electrical and Electronic Devices
1263422,"T.bị điện-đ.tử trong CN(ĐT,TT)",3,DH,NC,163,Industrial Electrical and Electronic Devices
1263423,T.bị điện-đ.tử trong CN (CĐ),3,DH,NC,163,Industrial Electrical and Electronic Devices
1263430,K.thuật khí nén-Thủy lực (KĐĐ),2,DH,NC,163,Pneumatic - Hydraulic System
1263431,Kỹ thuật khí nén-thủy lực(CĐ),2,DH,NC,163,Pneumatic - Hydraulic System
1263440,Vẽ kỹ thuật (KĐĐ),2,DH,NC,163,Engineering Drawing
1263441,Vẽ kỹ thuật (CĐ-KĐĐ),2,DH,NC,163,Engineering Drawing
